"playerNr"	"period"	"nAnimals"	"animalName"	"treatment"	"firstEstimate"	"secondEstimate"	"p1"	"p2"	"p3"	"meanP"	"varP"	"skewP"	"counterI"	"counterII"	"counterIII"	"age"	"gender"	"SocInfo"	"S"	"emulTreat"	"case"	"inaccuracy"	"d1"	"d2"	"d3"	"e2"	"normS"
"629"	19	21	79	"ant"	5	56	58	61	62	79	67.333	102.333	0.381	5	16	1	NA	NA	"0.176475778699374"	0.176475778699374	NA	3	23	0.0892857142857143	0.107142857142857	0.410714285714286	0.0357142857142857	NA
"660"	20	12	77	"bee"	5	51	55	54	56	72	60.667	97.333	0.367	5	2	5	NA	NA	"0.413778835212579"	0.413778835212579	NA	5	26	0.0588235294117647	0.0980392156862745	0.411764705882353	0.0784313725490196	NA
"661"	20	13	98	"flamingo"	5	65	70	72	73	90	78.333	102.333	0.381	5	3	5	NA	NA	"0.375009375234381"	0.375009375234381	NA	3	33	0.107692307692308	0.123076923076923	0.384615384615385	0.0769230769230769	NA
"668"	20	20	71	"cricket"	5	62	70	67	70	86	74.333	104.333	0.348	5	10	5	NA	NA	"0.648666180167032"	0.648666180167032	NA	6	9	0.0806451612903226	0.129032258064516	0.387096774193548	0.129032258064516	NA
"672"	20	24	99	"crane"	5	72	84	80	82	98	86.667	97.333	0.367	5	14	5	NA	NA	"0.818163223563101"	0.818163223563101	NA	7	27	0.111111111111111	0.138888888888889	0.361111111111111	0.166666666666667	NA
"674"	20	26	79	"ant"	5	65	73	72	73	90	78.333	102.333	0.381	5	16	5	NA	NA	"0.600015000375009"	0.600015000375009	NA	6	14	0.107692307692308	0.123076923076923	0.384615384615385	0.123076923076923	NA
"693"	22	2	77	"bee"	5	60	60	65	67	83	71.667	97.333	0.367	1	2	1	NA	NA	"0"	0	NA	2	17	0.0833333333333333	0.116666666666667	0.383333333333333	0	NA
"694"	22	3	98	"flamingo"	5	85	94	96	97	114	102.333	102.333	0.381	1	3	1	NA	NA	"0.519240754629897"	0.519240754629897	NA	3	13	0.129411764705882	0.141176470588235	0.341176470588235	0.105882352941176	NA
"701"	22	10	71	"cricket"	5	75	68	49	65	67	60.333	97.333	-0.367	1	10	1	NA	NA	"0.477261880411809"	0.477261880411809	NA	3	4	0.106666666666667	0.133333333333333	0.346666666666667	0.0933333333333333	NA
"705"	22	14	99	"crane"	5	105	93	72	89	90	83.667	102.333	-0.381	1	14	1	NA	NA	"0.562508789199831"	0.562508789199831	NA	3	6	0.142857142857143	0.152380952380952	0.314285714285714	0.114285714285714	NA
"707"	22	16	79	"ant"	5	65	75	72	73	90	78.333	102.333	0.381	1	16	1	NA	NA	"0.750018750468762"	0.750018750468762	NA	7	14	0.107692307692308	0.123076923076923	0.384615384615385	0.153846153846154	NA
"738"	23	7	77	"bee"	5	67	69	72	75	91	79.333	104.333	0.348	1	2	5	NA	NA	"0.162166545041758"	0.162166545041758	NA	3	10	0.0746268656716418	0.119402985074627	0.358208955223881	0.0298507462686567	NA
"739"	23	8	98	"flamingo"	5	91	98	101	106	120	109	97	0.276	1	3	5	NA	NA	"0.388888888888889"	0.388888888888889	NA	3	7	0.10989010989011	0.164835164835165	0.318681318681319	0.0769230769230769	NA
"746"	23	15	71	"cricket"	5	75	73	49	65	67	60.333	97.333	-0.367	1	10	5	NA	NA	"0.136360537260517"	0.136360537260517	NA	3	4	0.106666666666667	0.133333333333333	0.346666666666667	0.0266666666666667	NA
"750"	23	19	99	"crane"	5	99	108	111	115	130	118.667	100.333	0.317	1	14	5	NA	NA	"0.457619362383688"	0.457619362383688	NA	3	0	0.121212121212121	0.161616161616162	0.313131313131313	0.0909090909090909	NA
"752"	23	21	79	"ant"	5	57	61	62	63	80	68.333	102.333	0.381	1	16	5	NA	NA	"0.352951557398747"	0.352951557398747	NA	3	22	0.087719298245614	0.105263157894737	0.403508771929825	0.0701754385964912	NA
"783"	24	12	77	"bee"	5	53	54	57	59	75	63.667	97.333	0.367	5	2	5	NA	NA	"0.09374707040405"	0.0937470704040499	NA	3	24	0.0754716981132075	0.113207547169811	0.415094339622642	0.0188679245283019	NA
"784"	24	13	98	"flamingo"	5	84	92	94	96	112	100.667	97.333	0.367	5	3	5	NA	NA	"0.479990400191996"	0.479990400191996	NA	3	14	0.119047619047619	0.142857142857143	0.333333333333333	0.0952380952380952	NA
"791"	24	20	71	"cricket"	5	47	48	49	51	67	55.667	97.333	0.367	5	10	5	NA	NA	"0.115380177685474"	0.115380177685474	NA	3	24	0.0425531914893617	0.0851063829787234	0.425531914893617	0.0212765957446809	NA
"795"	24	24	99	"crane"	5	80	89	90	91	108	96.333	102.333	0.381	5	14	5	NA	NA	"0.551031653707218"	0.551031653707219	NA	3	19	0.125	0.1375	0.35	0.1125	NA
"797"	24	26	79	"ant"	5	64	71	71	72	89	77.333	102.333	0.381	5	16	5	NA	NA	"0.525013125328133"	0.525013125328133	NA	4	15	0.109375	0.125	0.390625	0.109375	NA
"818"	25	7	77	"bee"	5	101	101	70	85	89	81.333	100.333	-0.317	5	2	1	NA	NA	"0"	0	NA	2	24	0.118811881188119	0.158415841584158	0.306930693069307	0	NA
"819"	25	8	98	"flamingo"	5	119	119	83	100	101	94.667	102.333	-0.381	5	3	1	NA	NA	"0"	0	NA	2	21	0.151260504201681	0.159663865546218	0.302521008403361	0	NA
"826"	25	15	71	"cricket"	5	84	85	56	72	74	67.333	97.333	-0.367	5	10	1	NA	NA	"-0.059998800024"	-0.0599988000239995	NA	1	13	0.119047619047619	0.142857142857143	0.333333333333333	0.0119047619047619	NA
"830"	25	19	99	"crane"	5	111	112	78	95	96	89.667	102.333	-0.381	5	14	1	NA	NA	"-0.046875732433319"	-0.0468757324333193	NA	1	12	0.135135135135135	0.144144144144144	0.297297297297297	0.00900900900900901	NA
"832"	25	21	79	"ant"	5	79	79	90	91	108	96.333	102.333	0.381	5	16	1	NA	NA	"0"	0	NA	2	0	0.139240506329114	0.151898734177215	0.367088607594937	0	NA
"863"	26	12	77	"bee"	5	60	68	65	67	83	71.667	97.333	0.367	5	2	5	NA	NA	"0.685694694437302"	0.685694694437302	NA	7	17	0.0833333333333333	0.116666666666667	0.383333333333333	0.133333333333333	NA
"864"	26	13	98	"flamingo"	5	68	77	75	77	93	81.667	97.333	0.367	5	3	5	NA	NA	"0.658520523889661"	0.658520523889661	NA	6	30	0.102941176470588	0.132352941176471	0.367647058823529	0.132352941176471	NA
"871"	26	20	71	"cricket"	5	55	60	60	61	78	66.333	102.333	0.381	5	10	5	NA	NA	"0.441189446748434"	0.441189446748434	NA	4	16	0.0909090909090909	0.109090909090909	0.418181818181818	0.0909090909090909	NA
"875"	26	24	99	"crane"	5	94	103	107	108	125	113.333	102.333	0.381	5	14	5	NA	NA	"0.465525267677029"	0.465525267677029	NA	3	5	0.138297872340426	0.148936170212766	0.329787234042553	0.0957446808510638	NA
"877"	26	26	79	"ant"	5	68	72	73	77	92	80.667	100.333	0.317	5	16	5	NA	NA	"0.315781163653588"	0.315781163653588	NA	3	11	0.0735294117647059	0.132352941176471	0.352941176470588	0.0588235294117647	NA
"893"	27	2	77	"bee"	5	60	70	65	67	83	71.667	97.333	0.367	1	2	1	NA	NA	"0.857118368046627"	0.857118368046627	NA	7	17	0.0833333333333333	0.116666666666667	0.383333333333333	0.166666666666667	NA
"894"	27	3	98	"flamingo"	5	81	90	91	92	109	97.333	102.333	0.381	1	3	1	NA	NA	"0.551031653707218"	0.551031653707219	NA	3	17	0.123456790123457	0.135802469135802	0.345679012345679	0.111111111111111	NA
"901"	27	10	71	"cricket"	5	62	68	67	70	86	74.333	104.333	0.348	1	10	1	NA	NA	"0.486499635125274"	0.486499635125274	NA	5	9	0.0806451612903226	0.129032258064516	0.387096774193548	0.0967741935483871	NA
"905"	27	14	99	"crane"	5	71	74	79	80	97	85.333	102.333	0.381	1	14	1	NA	NA	"0.209307193190539"	0.209307193190539	NA	3	28	0.112676056338028	0.126760563380282	0.366197183098592	0.0422535211267606	NA
"907"	27	16	79	"ant"	5	68	65	73	77	92	80.667	100.333	0.317	1	16	1	NA	NA	"-0.236835872740191"	-0.236835872740191	NA	1	11	0.0735294117647059	0.132352941176471	0.352941176470588	0.0441176470588235	NA
"933"	28	2	77	"bee"	5	72	82	79	80	96	85	91	0.38	1	2	1	NA	NA	"0.769230769230769"	0.769230769230769	NA	7	5	0.0972222222222222	0.111111111111111	0.333333333333333	0.138888888888889	NA
"934"	28	3	98	"flamingo"	5	67	70	74	75	92	80.333	102.333	0.381	1	3	1	NA	NA	"0.225005625140629"	0.225005625140629	NA	3	31	0.104477611940299	0.119402985074627	0.373134328358209	0.0447761194029851	NA
"941"	28	10	71	"cricket"	5	59	61	63	67	82	70.667	100.333	0.317	1	10	1	NA	NA	"0.171423673609325"	0.171423673609325	NA	3	12	0.0677966101694915	0.135593220338983	0.389830508474576	0.0338983050847458	NA
"945"	28	14	99	"crane"	5	78	83	87	89	105	93.667	97.333	0.367	1	14	1	NA	NA	"0.319142145911789"	0.319142145911789	NA	3	21	0.115384615384615	0.141025641025641	0.346153846153846	0.0641025641025641	NA
"947"	28	16	79	"ant"	5	64	68	71	72	89	77.333	102.333	0.381	1	16	1	NA	NA	"0.300007500187505"	0.300007500187505	NA	3	15	0.109375	0.125	0.390625	0.0625	NA
"978"	29	7	77	"bee"	5	80	70	53	69	71	64.333	97.333	-0.367	1	2	5	NA	NA	"0.638284291823578"	0.638284291823578	NA	5	3	0.1125	0.1375	0.3375	0.125	NA
"979"	29	8	98	"flamingo"	5	90	100	101	103	120	108	109	0.369	1	3	5	NA	NA	"0.555555555555556"	0.555555555555556	NA	3	8	0.122222222222222	0.144444444444444	0.333333333333333	0.111111111111111	NA
"986"	29	15	71	"cricket"	5	90	80	61	78	79	72.667	102.333	-0.381	1	10	5	NA	NA	"0.576934171810996"	0.576934171810996	NA	3	19	0.122222222222222	0.133333333333333	0.322222222222222	0.111111111111111	NA
"990"	29	19	99	"crane"	5	106	95	73	90	91	84.667	102.333	-0.381	1	14	5	NA	NA	"0.515633056766512"	0.515633056766512	NA	3	7	0.141509433962264	0.150943396226415	0.311320754716981	0.10377358490566	NA
"992"	29	21	79	"ant"	5	94	76	64	80	82	75.333	97.333	-0.367	1	16	5	NA	NA	"0.964268495205443"	0.964268495205443	NA	7	15	0.127659574468085	0.148936170212766	0.319148936170213	0.191489361702128	NA
"1023"	30	12	77	"bee"	5	85	82	57	72	75	68	93	-0.343	5	2	5	NA	NA	"0.176470588235294"	0.176470588235294	NA	3	8	0.117647058823529	0.152941176470588	0.329411764705882	0.0352941176470588	NA
"1024"	30	13	98	"flamingo"	5	101	98	68	83	87	79.333	100.333	-0.317	5	3	5	NA	NA	"0.138459408316795"	0.138459408316795	NA	3	3	0.138613861386139	0.178217821782178	0.326732673267327	0.0297029702970297	NA
"1031"	30	20	71	"cricket"	5	89	86	60	76	78	71.333	97.333	-0.367	5	10	5	NA	NA	"0.169808116827984"	0.169808116827984	NA	3	18	0.123595505617978	0.146067415730337	0.325842696629214	0.0337078651685393	NA
"1035"	30	24	99	"crane"	5	97	103	110	111	128	116.333	102.333	0.381	5	14	5	NA	NA	"0.310350178451353"	0.310350178451353	NA	3	2	0.134020618556701	0.144329896907216	0.319587628865979	0.0618556701030928	NA
"1037"	30	26	79	"ant"	5	76	77	81	82	99	87.333	102.333	0.381	5	16	5	NA	NA	"0.088237889349687"	0.0882378893496868	NA	3	3	0.0657894736842105	0.0789473684210526	0.302631578947368	0.0131578947368421	NA
"1058"	31	7	77	"bee"	5	29	30	30	31	48	36.333	102.333	0.381	5	2	1	NA	NA	"0.1363698349925"	0.1363698349925	NA	4	48	0.0344827586206897	0.0689655172413793	0.655172413793103	0.0344827586206897	NA
"1059"	31	8	98	"flamingo"	5	45	46	48	49	66	54.333	102.333	0.381	5	3	1	NA	NA	"0.107146683810136"	0.107146683810136	NA	3	53	0.0666666666666667	0.0888888888888889	0.466666666666667	0.0222222222222222	NA
"1066"	31	15	71	"cricket"	5	50	52	54	55	72	60.333	102.333	0.381	5	10	1	NA	NA	"0.193554630794542"	0.193554630794542	NA	3	21	0.08	0.1	0.44	0.04	NA
"1070"	31	19	99	"crane"	5	70	72	78	79	96	84.333	102.333	0.381	5	14	1	NA	NA	"0.139538128793693"	0.139538128793693	NA	3	29	0.114285714285714	0.128571428571429	0.371428571428571	0.0285714285714286	NA
"1072"	31	21	79	"ant"	5	61	63	67	68	85	73.333	102.333	0.381	5	16	1	NA	NA	"0.162166545041758"	0.162166545041758	NA	3	18	0.0983606557377049	0.114754098360656	0.39344262295082	0.0327868852459016	NA
"1107"	33	2	77	"bee"	5	41	42	42	45	61	49.333	104.333	0.348	1	2	1	NA	NA	"0.120004800192008"	0.120004800192008	NA	4	36	0.024390243902439	0.0975609756097561	0.48780487804878	0.024390243902439	NA
"1108"	33	3	98	"flamingo"	5	79	81	87	91	106	94.667	100.333	0.317	1	3	1	NA	NA	"0.127656858364716"	0.127656858364716	NA	3	19	0.10126582278481	0.151898734177215	0.341772151898734	0.0253164556962025	NA
"1115"	33	10	71	"cricket"	5	40	41	41	43	59	47.667	97.333	0.367	1	10	1	NA	NA	"0.130429111777749"	0.130429111777749	NA	4	31	0.025	0.075	0.475	0.025	NA
"1119"	33	14	99	"crane"	5	80	83	90	91	108	96.333	102.333	0.381	1	14	1	NA	NA	"0.183677217902406"	0.183677217902406	NA	3	19	0.125	0.1375	0.35	0.0375	NA
"1121"	33	16	79	"ant"	5	47	48	50	51	68	56.333	102.333	0.381	1	16	1	NA	NA	"0.107146683810136"	0.107146683810136	NA	3	32	0.0638297872340425	0.0851063829787234	0.446808510638298	0.0212765957446809	NA
"1181"	35	7	77	"bee"	5	80	78	53	69	71	64.333	97.333	-0.367	1	2	5	NA	NA	"0.127656858364716"	0.127656858364716	NA	3	3	0.1125	0.1375	0.3375	0.025	NA
"1182"	35	8	98	"flamingo"	5	90	110	101	103	120	108	109	0.369	1	3	5	NA	NA	"1.11111111111111"	1.11111111111111	NA	7	8	0.122222222222222	0.144444444444444	0.333333333333333	0.222222222222222	NA
"1189"	35	15	71	"cricket"	5	86	83	58	74	76	69.333	97.333	-0.367	1	10	5	NA	NA	"0.179996400071999"	0.179996400071999	NA	3	15	0.116279069767442	0.13953488372093	0.325581395348837	0.0348837209302326	NA
"1193"	35	19	99	"crane"	5	85	88	96	97	114	102.333	102.333	0.381	1	14	5	NA	NA	"0.173080251543299"	0.173080251543299	NA	3	14	0.129411764705882	0.141176470588235	0.341176470588235	0.0352941176470588	NA
"1195"	35	21	79	"ant"	5	73	77	81	82	99	87.333	102.333	0.381	1	16	5	NA	NA	"0.279076257587386"	0.279076257587386	NA	3	6	0.10958904109589	0.123287671232877	0.356164383561644	0.0547945205479452	NA
"1226"	36	12	77	"bee"	5	44	53	46	48	64	52.667	97.333	0.367	5	2	5	NA	NA	"1.03842159916926"	1.03842159916926	NA	7	33	0.0454545454545455	0.0909090909090909	0.454545454545455	0.204545454545455	NA
"1227"	36	13	98	"flamingo"	5	67	80	74	75	92	80.333	102.333	0.381	5	3	5	NA	NA	"0.97502437560939"	0.97502437560939	NA	7	31	0.104477611940299	0.119402985074627	0.373134328358209	0.194029850746269	NA
"1234"	36	20	71	"cricket"	5	40	42	41	43	59	47.667	97.333	0.367	5	10	5	NA	NA	"0.260858223555498"	0.260858223555498	NA	5	31	0.025	0.075	0.475	0.05	NA
"1238"	36	24	99	"crane"	5	43	46	47	48	65	53.333	102.333	0.381	5	14	5	NA	NA	"0.290331946191813"	0.290331946191813	NA	3	56	0.0930232558139535	0.116279069767442	0.511627906976744	0.0697674418604651	NA
"1240"	36	26	79	"ant"	5	39	41	40	41	58	46.333	102.333	0.381	5	16	5	NA	NA	"0.272739669984999"	0.272739669984999	NA	6	40	0.0256410256410256	0.0512820512820513	0.487179487179487	0.0512820512820513	NA
"1261"	37	7	77	"bee"	5	64	66	71	72	89	77.333	102.333	0.381	5	2	1	NA	NA	"0.150003750093752"	0.150003750093752	NA	3	13	0.109375	0.125	0.390625	0.03125	NA
"1262"	37	8	98	"flamingo"	5	76	82	83	87	103	91	112	0.324	5	3	1	NA	NA	"0.4"	0.4	NA	3	22	0.0921052631578947	0.144736842105263	0.355263157894737	0.0789473684210526	NA
"1269"	37	15	71	"cricket"	5	78	69	51	67	69	62.333	97.333	-0.367	5	10	1	NA	NA	"0.57445586264122"	0.57445586264122	NA	4	7	0.115384615384615	0.141025641025641	0.346153846153846	0.115384615384615	NA
"1273"	37	19	99	"crane"	5	83	85	92	96	111	99.667	100.333	0.317	5	14	1	NA	NA	"0.119997600047999"	0.119997600047999	NA	3	16	0.108433734939759	0.156626506024096	0.337349397590361	0.0240963855421687	NA
"1275"	37	21	79	"ant"	5	68	69	73	77	92	80.667	100.333	0.317	5	16	1	NA	NA	"0.078945290913397"	0.078945290913397	NA	3	11	0.0735294117647059	0.132352941176471	0.352941176470588	0.0147058823529412	NA
"1320"	40	2	77	"bee"	5	68	77	75	79	94	82.667	100.333	0.317	1	2	1	NA	NA	"0.613622417672326"	0.613622417672326	NA	5	9	0.102941176470588	0.161764705882353	0.382352941176471	0.132352941176471	NA
"1321"	40	3	98	"flamingo"	5	84	95	94	96	112	100.667	97.333	0.367	1	3	1	NA	NA	"0.659986800263995"	0.659986800263995	NA	5	14	0.119047619047619	0.142857142857143	0.333333333333333	0.130952380952381	NA
"1328"	40	10	71	"cricket"	5	68	74	73	75	91	79.667	97.333	0.367	1	10	1	NA	NA	"0.514271020827976"	0.514271020827976	NA	5	3	0.0735294117647059	0.102941176470588	0.338235294117647	0.0882352941176471	NA
"1332"	40	14	99	"crane"	5	89	97	101	102	120	107.667	114.333	0.381	1	14	1	NA	NA	"0.428563775646863"	0.428563775646863	NA	3	10	0.134831460674157	0.146067415730337	0.348314606741573	0.0898876404494382	NA
"1334"	40	16	79	"ant"	5	92	84	62	79	80	73.667	102.333	-0.381	1	16	1	NA	NA	"0.436371570392189"	0.436371570392189	NA	3	13	0.130434782608696	0.141304347826087	0.326086956521739	0.0869565217391304	NA
"1365"	41	7	77	"bee"	5	85	77	57	72	75	68	93	-0.343	1	2	5	NA	NA	"0.470588235294118"	0.470588235294118	NA	3	8	0.117647058823529	0.152941176470588	0.329411764705882	0.0941176470588235	NA
"1366"	41	8	98	"flamingo"	5	92	98	103	106	122	110.333	104.333	0.348	1	3	5	NA	NA	"0.327278677794142"	0.327278677794142	NA	3	6	0.119565217391304	0.152173913043478	0.326086956521739	0.0652173913043478	NA
"1373"	41	15	71	"cricket"	5	65	65	72	73	90	78.333	102.333	0.381	1	10	5	NA	NA	"0"	0	NA	2	6	0.107692307692308	0.123076923076923	0.384615384615385	0	NA
"1377"	41	19	99	"crane"	5	93	97	105	106	122	111	91	0.38	1	14	5	NA	NA	"0.222222222222222"	0.222222222222222	NA	3	6	0.129032258064516	0.139784946236559	0.311827956989247	0.043010752688172	NA
"1379"	41	21	79	"ant"	5	58	61	63	65	81	69.667	97.333	0.367	1	16	5	NA	NA	"0.257135510413988"	0.257135510413988	NA	3	21	0.0862068965517241	0.120689655172414	0.396551724137931	0.0517241379310345	NA
"1410"	42	12	77	"bee"	5	70	75	79	80	96	85	91	0.38	5	2	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	7	0.128571428571429	0.142857142857143	0.371428571428571	0.0714285714285714	NA
"1411"	42	13	98	"flamingo"	5	68	72	75	77	93	81.667	97.333	0.367	5	3	5	NA	NA	"0.292675788395405"	0.292675788395405	NA	3	30	0.102941176470588	0.132352941176471	0.367647058823529	0.0588235294117647	NA
"1418"	42	20	71	"cricket"	5	61	65	67	69	85	73.667	97.333	0.367	5	10	5	NA	NA	"0.315781163653588"	0.315781163653588	NA	3	10	0.0983606557377049	0.131147540983607	0.39344262295082	0.0655737704918033	NA
"1422"	42	24	99	"crane"	5	87	92	98	99	116	104.333	102.333	0.381	5	14	5	NA	NA	"0.288467085905498"	0.288467085905498	NA	3	12	0.126436781609195	0.137931034482759	0.333333333333333	0.0574712643678161	NA
"1424"	42	26	79	"ant"	5	68	75	73	77	92	80.667	100.333	0.317	5	16	5	NA	NA	"0.552617036393779"	0.552617036393779	NA	5	11	0.0735294117647059	0.132352941176471	0.352941176470588	0.102941176470588	NA
"1448"	45	2	77	"bee"	5	91	82	62	79	80	73.667	102.333	-0.381	1	2	1	NA	NA	"0.519240754629897"	0.519240754629897	NA	3	14	0.120879120879121	0.131868131868132	0.318681318681319	0.0989010989010989	NA
"1449"	45	3	98	"flamingo"	5	84	100	94	96	112	100.667	97.333	0.367	1	3	1	NA	NA	"0.959980800383992"	0.959980800383992	NA	7	14	0.119047619047619	0.142857142857143	0.333333333333333	0.19047619047619	NA
"1456"	45	10	71	"cricket"	5	58	70	63	65	82	70	109	0.369	1	10	1	NA	NA	"1"	1	NA	7	13	0.0862068965517241	0.120689655172414	0.413793103448276	0.206896551724138	NA
"1460"	45	14	99	"crane"	5	105	96	72	89	90	83.667	102.333	-0.381	1	14	1	NA	NA	"0.421881591899873"	0.421881591899873	NA	3	6	0.142857142857143	0.152380952380952	0.314285714285714	0.0857142857142857	NA
"1462"	45	16	79	"ant"	5	70	85	79	80	97	85.333	102.333	0.381	1	16	1	NA	NA	"0.978282136568186"	0.978282136568186	NA	7	9	0.128571428571429	0.142857142857143	0.385714285714286	0.214285714285714	NA
"1494"	47	7	77	"bee"	5	35	36	36	37	54	42.333	102.333	0.381	1	2	5	NA	NA	"0.1363698349925"	0.1363698349925	NA	4	42	0.0285714285714286	0.0571428571428571	0.542857142857143	0.0285714285714286	NA
"1495"	47	8	98	"flamingo"	5	57	66	62	63	80	68.333	102.333	0.381	1	3	5	NA	NA	"0.794141004147181"	0.794141004147181	NA	7	41	0.087719298245614	0.105263157894737	0.403508771929825	0.157894736842105	NA
"1502"	47	15	71	"cricket"	5	47	47	49	51	67	55.667	97.333	0.367	1	10	5	NA	NA	"0"	0	NA	2	24	0.0425531914893617	0.0851063829787234	0.425531914893617	0	NA
"1506"	47	19	99	"crane"	5	81	85	91	92	109	97.333	102.333	0.381	1	14	5	NA	NA	"0.244902957203208"	0.244902957203208	NA	3	18	0.123456790123457	0.135802469135802	0.345679012345679	0.0493827160493827	NA
"1508"	47	21	79	"ant"	5	35	37	36	39	54	43	93	0.343	1	16	5	NA	NA	"0.25"	0.25	NA	5	44	0.0285714285714286	0.114285714285714	0.542857142857143	0.0571428571428571	NA
"1534"	49	7	77	"bee"	5	76	80	85	89	105	93	112	0.324	5	2	1	NA	NA	"0.235294117647059"	0.235294117647059	NA	3	1	0.118421052631579	0.171052631578947	0.381578947368421	0.0526315789473684	NA
"1535"	49	8	98	"flamingo"	5	90	90	101	103	120	108	109	0.369	5	3	1	NA	NA	"0"	0	NA	2	8	0.122222222222222	0.144444444444444	0.333333333333333	0	NA
"1542"	49	15	71	"cricket"	5	50	50	54	55	72	60.333	102.333	0.381	5	10	1	NA	NA	"0"	0	NA	2	21	0.08	0.1	0.44	0	NA
"1546"	49	19	99	"crane"	5	83	84	92	96	111	99.667	100.333	0.317	5	14	1	NA	NA	"0.059998800024"	0.0599988000239995	NA	3	16	0.108433734939759	0.156626506024096	0.337349397590361	0.0120481927710843	NA
"1548"	49	21	79	"ant"	5	70	74	79	80	97	85.333	102.333	0.381	5	16	1	NA	NA	"0.260875236418183"	0.260875236418183	NA	3	9	0.128571428571429	0.142857142857143	0.385714285714286	0.0571428571428571	NA
"1579"	50	12	77	"bee"	5	89	84	60	75	79	71.333	100.333	-0.317	5	2	5	NA	NA	"0.283013528046641"	0.283013528046641	NA	3	12	0.112359550561798	0.157303370786517	0.325842696629214	0.0561797752808989	NA
"1580"	50	13	98	"flamingo"	5	92	98	103	106	122	110.333	104.333	0.348	5	3	5	NA	NA	"0.327278677794142"	0.327278677794142	NA	3	6	0.119565217391304	0.152173913043478	0.326086956521739	0.0652173913043478	NA
"1587"	50	20	71	"cricket"	5	73	69	47	63	65	58.333	97.333	-0.367	5	10	5	NA	NA	"0.272721074521034"	0.272721074521034	NA	3	2	0.10958904109589	0.136986301369863	0.356164383561644	0.0547945205479452	NA
"1591"	50	24	99	"crane"	5	96	99	110	111	128	116.333	102.333	0.381	5	14	5	NA	NA	"0.147543402350858"	0.147543402350858	NA	3	3	0.145833333333333	0.15625	0.333333333333333	0.03125	NA
"1593"	50	26	79	"ant"	5	65	66	72	73	90	78.333	102.333	0.381	5	16	5	NA	NA	"0.075001875046876"	0.0750018750468762	NA	3	14	0.107692307692308	0.123076923076923	0.384615384615385	0.0153846153846154	NA
"1611"	52	2	77	"bee"	5	58	61	63	65	81	69.667	97.333	0.367	1	2	1	NA	NA	"0.257135510413988"	0.257135510413988	NA	3	19	0.0862068965517241	0.120689655172414	0.396551724137931	0.0517241379310345	NA
"1612"	52	3	98	"flamingo"	5	62	67	69	70	87	75.333	102.333	0.381	1	3	1	NA	NA	"0.375009375234381"	0.375009375234381	NA	3	36	0.112903225806452	0.129032258064516	0.403225806451613	0.0806451612903226	NA
"1619"	52	10	71	"cricket"	5	50	51	54	55	72	60.333	102.333	0.381	1	10	1	NA	NA	"0.096777315397271"	0.0967773153972709	NA	3	21	0.08	0.1	0.44	0.02	NA
"1623"	52	14	99	"crane"	5	72	84	80	82	98	86.667	97.333	0.367	1	14	1	NA	NA	"0.818163223563101"	0.818163223563101	NA	7	27	0.111111111111111	0.138888888888889	0.361111111111111	0.166666666666667	NA
"1625"	52	16	79	"ant"	5	88	86	59	75	77	70.333	97.333	-0.367	1	16	1	NA	NA	"0.113205411218656"	0.113205411218656	NA	3	9	0.125	0.147727272727273	0.329545454545455	0.0227272727272727	NA
"1656"	53	7	77	"bee"	5	54	53	57	59	75	63.667	97.333	0.367	1	2	5	NA	NA	"-0.103444708803145"	-0.103444708803145	NA	1	23	0.0555555555555556	0.0925925925925926	0.388888888888889	0.0185185185185185	NA
"1657"	53	8	98	"flamingo"	5	55	58	60	61	78	66.333	102.333	0.381	1	3	5	NA	NA	"0.26471366804906"	0.26471366804906	NA	3	43	0.0909090909090909	0.109090909090909	0.418181818181818	0.0545454545454545	NA
"1664"	53	15	71	"cricket"	5	68	72	73	75	91	79.667	97.333	0.367	1	10	5	NA	NA	"0.342847347218651"	0.342847347218651	NA	3	3	0.0735294117647059	0.102941176470588	0.338235294117647	0.0588235294117647	NA
"1668"	53	19	99	"crane"	5	85	105	96	97	114	102.333	102.333	0.381	1	14	5	NA	NA	"1.15386834362199"	1.15386834362199	NA	7	14	0.129411764705882	0.141176470588235	0.341176470588235	0.235294117647059	NA
"1670"	53	21	79	"ant"	5	84	73	56	71	75	67.333	100.333	-0.317	1	16	5	NA	NA	"0.659986800263995"	0.659986800263995	NA	5	5	0.107142857142857	0.154761904761905	0.333333333333333	0.130952380952381	NA
"1701"	54	12	77	"bee"	5	48	55	51	53	69	57.667	97.333	0.367	5	2	5	NA	NA	"0.724112961622013"	0.724112961622013	NA	7	29	0.0625	0.104166666666667	0.4375	0.145833333333333	NA
"1702"	54	13	98	"flamingo"	5	67	79	74	75	92	80.333	102.333	0.381	5	3	5	NA	NA	"0.900022500562514"	0.900022500562514	NA	7	31	0.104477611940299	0.119402985074627	0.373134328358209	0.17910447761194	NA
"1709"	54	20	71	"cricket"	5	38	42	39	41	58	46	109	0.369	5	10	5	NA	NA	"0.5"	0.5	NA	7	33	0.0263157894736842	0.0789473684210526	0.526315789473684	0.105263157894737	NA
"1713"	54	24	99	"crane"	5	80	95	90	91	108	96.333	102.333	0.381	5	14	5	NA	NA	"0.918386089512031"	0.918386089512031	NA	7	19	0.125	0.1375	0.35	0.1875	NA
