playerNr;period;nAnimals;animalName;treatment;firstEstimate;secondEstimate;p1;p2;p3;meanP;varP;skewP;age;gender;SocInfo
7;13;50;flamingo;6;79;60;42;54;55;50.333;52.333;-0.377;;;0.662782991
7;14;62;crane;6;58;58;53;55;72;60;109;0.369;;;0
7;15;71;cricket;5;69;76;73;75;91;79.667;97.333;0.367;;;0.656229493
7;16;88;ant;4;94;90;69;70;87;75.333;102.333;0.381;;;0.214281888
7;17;59;bee;2;63;60;47;51;53;50.333;9.333;-0.208;;;0.236835873
7;18;93;flamingo;2;100;95;77;80;83;80;9;0;;;0.25
7;19;99;crane;5;75;85;82;86;101;89.667;100.333;0.317;;;0.681802686
7;20;58;cricket;4;44;50;45;60;64;56.333;100.333;-0.317;;;0.486499635
7;21;79;ant;5;75;77;81;82;99;87.333;102.333;0.381;;;0.162166545
7;22;50;bee;4;59;59;40;42;58;46.667;97.333;0.367;;;0
7;23;69;flamingo;6;60;60;33;59;64;52;277;-0.346;;;0
7;24;52;crane;4;55;54;36;38;54;42.667;97.333;0.367;;;0.081083273
7;25;97;cricket;6;85;90;50;98;133;93.667;1.736.333;-0.103;;;0.576900888
7;26;71;ant;2;78;75;59;63;65;62.333;9.333;-0.208;;;0.191485288
7;27;97;bee;6;78;85;85;105;120;103.333;308.333;-0.094;;;0.276319425
7;28;89;flamingo;3;90;85;61;71;81;71;100;0;;;0.263157895
7;29;93;crane;3;88;100;95;105;115;105;100;0;;;0.705882353
7;30;58;cricket;2;50;52;57;60;63;60;9;0;;;0.2
7;31;53;ant;6;56;56;27;58;66;50.333;424.333;-0.321;;;0
7;32;80;bee;3;80;84;86;96;107;96.333;110.333;0.032;;;0.244902957
7;33;58;flamingo;4;69;66;48;50;66;54.667;97.333;0.367;;;0.209307193
7;34;86;crane;2;75;85;87;90;93;90;9;0;;;0.666666667
7;35;70;cricket;3;75;70;50;60;70;60;100;0;;;0.333333333
7;36;60;ant;7;54;60;55;65;75;65;100;0;;;0.545454545
7;37;77;bee;7;67;80;72;75;91;79.333;104.333;0.348;;;1.054.082.543
7;38;93;flamingo;7;60;68;68;73;75;72;13;-0.256;;;0.666666667
7;39;85;crane;7;115;100;40;99;121;86.667;1.754.333;-0.269;;;0.529417993
7;40;58;cricket;7;60;50;41;43;59;47.667;97.333;0.367;22;1;0.810832725
9;1;98;ant;6;70;70;39;66;118;74.333;1.612.333;0.199;;;0
9;2;77;bee;5;60;60;65;67;83;71.667;97.333;0.367;;;0
9;3;98;flamingo;5;75;80;83;87;101;90.333;89.333;0.309;;;0.326094046
9;4;85;crane;6;60;60;44;66;103;71;889;0.163;;;0
9;5;84;cricket;6;55;65;72;85;108;88.333;332.333;0.177;;;0.300003
9;6;60;ant;3;55;55;56;66;76;66;100;0;;;0
9;7;98;bee;6;80;75;30;58;91;59.667;932.333;0.054;;;0.245905671
9;8;50;flamingo;6;50;50;32;36;87;51.667;940.333;0.378;;;0
9;9;62;crane;6;55;55;42;46;60;49.333;89.333;0.309;;;0
9;10;71;cricket;5;70;75;80;82;98;86.667;97.333;0.367;;;0.299994
9;11;88;ant;4;80;80;83;100;101;94.667;102.333;-0.381;;;0
9;12;59;bee;2;60;55;45;48;51;48;9;0;;;0.416666667
9;13;93;flamingo;2;60;60;68;73;75;72;13;-0.256;;;0
9;14;99;crane;5;60;60;64;65;82;70.333;102.333;0.381;;;0
9;15;58;cricket;4;60;60;41;43;59;47.667;97.333;0.367;;;0
9;16;79;ant;5;60;60;66;67;84;72.333;102.333;0.381;;;0
9;17;50;bee;4;50;50;51;65;70;62;97;-0.276;;;0
9;18;69;flamingo;6;55;55;59;72;101;77.333;462.333;0.233;;;0
9;19;52;crane;4;50;50;51;67;69;62.333;97.333;-0.367;;;0
9;20;97;cricket;6;70;70;72;97;110;93;373;-0.198;;;0
9;21;71;ant;2;65;65;75;77;82;78;13;0.256;;;0
9;22;97;bee;6;70;70;24;122;125;90.333;3.302.333;-0.384;;;0
9;23;89;flamingo;3;65;65;67;77;87;77;100;0;;;0
9;24;93;crane;3;60;60;61;71;81;71;100;0;;;0
9;25;58;cricket;2;45;50;51;54;57;54;9;0;;;0.555555556
9;26;53;ant;6;60;60;33;44;63;46.667;230.333;0.17;;;0
9;27;80;bee;3;60;60;62;71;82;71.667;100.333;0.066;;;0
9;28;58;flamingo;4;55;55;56;71;75;67.333;100.333;-0.317;;;0
9;29;86;crane;2;60;60;69;72;75;72;9;0;;;0
9;30;70;cricket;3;55;55;56;66;76;66;100;0;;;0
9;31;60;ant;7;47;60;48;54;67;56.333;94.333;0.226;;;139.290.689
9;32;77;bee;7;31;40;32;33;50;38.333;102.333;0.381;;;1.227.328.515
9;33;93;flamingo;7;110;99;84;89;91;88;13;-0.256;;;0.5
9;34;85;crane;7;99;80;63;81;104;82.667;422.333;0.081;;;1.163.289.047
9;35;58;cricket;7;41;50;42;58;60;53.333;97.333;-0.367;;;0.729749453
9;36;93;ant;1;66;77;80;;;;;;;;0.785714286
9;37;78;bee;1;57;62;68;;;;;;;;0.454545455
9;38;59;flamingo;1;53;56;64;;;;;;;;0.272727273
9;39;74;crane;1;60;65;72;;;;;;;;0.416666667
9;40;69;cricket;1;60;65;72;;;;;;27;1;0.416666667
10;1;98;ant;6;95;85;36;56;112;68;1552;0.276;;;0.37037037
10;2;77;bee;5;35;35;36;37;54;42.333;102.333;0.381;;;0
10;3;98;flamingo;5;85;107;96;97;114;102.333;102.333;0.381;;;1.269.255.178
